Date,Time(UTC-3),Time from start,Latitude,Longitude,Altitude (m),Distance from start (m),Vn (km/h),Ve (km/h),Vd (km/h),Vf (km/h), Vl (km/h),Speed (km/h),Ax,Ay,Az,Af,Al,Ad,Heading,Pitch,Roll,Wx,Wy,Wz,Wf,Wl,Wd,LatitudeAcc,LongitudeAcc,AltitudeAcc (m),VnAcc (km/h),VeAcc (km/h),VdAcc (km/h),PitchAcc,RollAcc,HeadingAcc,Online Heave Value (m),iHeave Date,iHeave Time (UTC-3),iHeave Value (m),
2022-10-29,12:57:10.350,0.000,45.96110065,-66.62690559,-20.567,0.000,-0.022,-0.023,0.044,0.029,-0.014,0.032,-0.494,-0.868,-9.760,0.006,-0.004,-9.811,253.721,-2.919,5.059,0.170,0.215,0.100,0.163,0.205,0.127,,,,,,,,,,0.032,,,,
2022-10-29,12:57:09.350,1.000,45.96110063,-66.62690559,-20.567,0.009,-0.023,-0.022,0.043,0.028,-0.016,0.032,-0.495,-0.863,-9.761,0.005,0.001,-9.811,253.723,-2.920,5.060,0.064,0.128,0.026,0.062,0.126,0.040,0.063,0.063,0.075,0.130,0.130,0.047,0.101,0.101,0.176,0.030,,,,
2022-10-29,12:57:10.350,2.000,45.96110061,-66.62690559,-20.565,0.018,-0.022,-0.023,0.042,0.028,-0.015,0.032,-0.498,-0.862,-9.759,0.001,0.003,-9.810,253.717,-2.921,5.066,0.307,-0.043,0.013,0.306,-0.044,0.025,0.063,0.063,0.075,0.130,0.130,0.047,0.101,0.101,0.176,0.030,,,,
2022-10-29,12:57:11.350,3.000,45.96110062,-66.62690560,-20.564,0.026,-0.017,-0.024,0.041,0.028,-0.009,0.030,-0.497,-0.860,-9.754,0.002,0.004,-9.804,253.711,-2.921,5.066,-0.131,-0.036,-0.048,-0.128,-0.032,-0.057,0.063,0.063,0.075,0.130,0.130,0.047,0.101,0.101,0.176,0.030,,,,
2022-10-29,12:57:12.350,4.000,45.96110062,-66.62690562,-20.562,0.035,-0.010,-0.027,0.041,0.029,-0.002,0.029,-0.497,-0.868,-9.760,0.003,-0.002,-9.811,253.695,-2.917,5.071,-0.147,0.329,0.116,-0.154,0.317,0.137,0.063,0.063,0.075,0.130,0.130,0.047,0.100,0.100,0.176,0.030,,,,
2022-10-29,12:57:13.350,5.000,45.96110064,-66.62690561,-20.562,0.043,-0.004,-0.027,0.040,0.027,0.004,0.027,-0.497,-0.862,-9.766,0.003,0.005,-9.816,253.688,-2.915,5.074,0.226,0.340,0.091,0.220,0.330,0.132,0.063,0.063,0.075,0.130,0.130,0.047,0.101,0.100,0.176,0.030,,,,
2022-10-29,12:57:14.350,6.000,45.96110069,-66.62690559,-20.561,0.050,0.005,-0.025,0.040,0.023,0.011,0.025,-0.495,-0.863,-9.762,0.003,0.004,-9.813,253.693,-2.913,5.075,0.078,0.084,0.095,0.073,0.075,0.106,0.063,0.063,0.075,0.130,0.130,0.047,0.100,0.100,0.175,0.030,,,,
2022-10-29,12:57:15.350,7.000,45.96110074,-66.62690559,-20.562,0.057,0.015,-0.023,0.039,0.018,0.021,0.027,-0.488,-0.867,-9.760,0.010,-0.000,-9.810,253.696,-2.910,5.077,0.034,0.274,0.313,0.017,0.246,0.337,0.063,0.063,0.075,0.130,0.130,0.047,0.100,0.100,0.175,0.030,,,,
2022-10-29,12:57:16.350,8.000,45.96110078,-66.62690558,-20.563,0.065,0.022,-0.021,0.039,0.013,0.027,0.030,-0.501,-0.858,-9.767,-0.003,0.010,-9.817,253.692,-2.907,5.081,0.273,0.201,-0.136,0.279,0.212,-0.104,0.063,0.063,0.075,0.130,0.130,0.047,0.100,0.099,0.183,0.030,,,,
2022-10-29,12:57:17.350,9.000,45.96110081,-66.62690557,-20.564,0.074,0.026,-0.017,0.039,0.009,0.030,0.031,-0.503,-0.862,-9.756,-0.005,0.005,-9.807,253.695,-2.908,5.080,-0.104,0.011,-0.368,-0.085,0.044,-0.370,0.062,0.062,0.074,0.130,0.130,0.047,0.100,0.100,0.180,0.030,,,,
2022-10-29,12:57:18.350,10.000,45.96110083,-66.62690556,-20.566,0.082,0.025,-0.015,0.038,0.007,0.028,0.029,-0.499,-0.851,-9.767,-0.000,0.017,-9.817,253.691,-2.914,5.078,0.443,-0.316,-0.123,0.450,-0.304,-0.127,0.063,0.063,0.075,0.130,0.130,0.047,0.099,0.099,0.178,0.028,,,,
2022-10-29,12:57:19.350,11.000,45.96110083,-66.62690558,-20.566,0.090,0.022,-0.015,0.037,0.008,0.025,0.026,-0.500,-0.865,-9.758,-0.002,0.002,-9.809,253.700,-2.910,5.073,0.022,-0.048,0.025,0.021,-0.050,0.021,0.063,0.062,0.075,0.130,0.130,0.047,0.100,0.099,0.177,0.028,,,,
