,Latitude,Longitude,Altitude (m), Vl (km/h)
0,45.96110065,-66.62690559,-20.567,-0.014
1,45.96110063,-66.62690559,-20.567,-0.016
2,45.96110061,-66.62690559,-20.565,-0.015
3,45.96110062,-66.6269056,-20.564,-0.009
4,45.96110062,-66.62690562,-20.562,-0.002
5,45.96110064,-66.62690561,-20.562,0.004
6,45.96110069,-66.62690559,-20.561,0.011
7,45.96110074,-66.62690559,-20.562,0.021
8,45.96110078,-66.62690558,-20.563,0.027
9,45.96110081,-66.62690557,-20.564,0.03
10,45.96110083,-66.62690556,-20.566,0.028
11,45.96110083,-66.62690558,-20.566,0.025
12,45.96110083,-66.62690555,-20.565,0.023
13,45.96110082,-66.62690556,-20.564,0.019
14,45.96110079,-66.62690555,-20.564,0.011
15,45.96110078,-66.62690556,-20.565,0.008
16,45.9611008,-66.62690555,-20.566,0.009
17,45.96110081,-66.62690553,-20.567,0.008
18,45.96110079,-66.62690549,-20.567,0.002
19,45.96110077,-66.62690545,-20.568,-0.005
20,45.96110073,-66.62690544,-20.566,-0.01
21,45.96110071,-66.6269054,-20.566,-0.011
22,45.96110069,-66.62690538,-20.565,-0.01
23,45.96110069,-66.6269054,-20.566,-0.006
24,45.96110071,-66.62690546,-20.567,0.002
25,45.96110077,-66.62690549,-20.567,0.015
26,45.9611008,-66.62690549,-20.568,0.024
27,45.96110082,-66.62690549,-20.567,0.028
28,45.96110083,-66.62690549,-20.566,0.031
29,45.96110086,-66.62690552,-20.565,0.037
30,45.9611009,-66.62690552,-20.564,0.045
31,45.96110094,-66.62690552,-20.563,0.051
32,45.96110093,-66.62690551,-20.562,0.048
33,45.9611009,-66.62690551,-20.561,0.039
34,45.96110091,-66.62690551,-20.561,0.035
35,45.96110092,-66.6269055,-20.561,0.034
36,45.96110092,-66.62690548,-20.562,0.028
37,45.9611009,-66.62690546,-20.563,0.018
38,45.96110084,-66.62690546,-20.565,0.001
39,45.96110078,-66.62690544,-20.566,-0.014
40,45.96110073,-66.62690543,-20.567,-0.023
41,45.9611007,-66.62690542,-20.566,-0.026
42,45.96110072,-66.62690544,-20.564,-0.016
43,45.96110076,-66.62690543,-20.563,-0.005
44,45.96110078,-66.62690543,-20.561,0.005
45,45.96110081,-66.62690543,-20.56,0.016
46,45.96110085,-66.62690548,-20.559,0.024
47,45.96110088,-66.62690555,-20.558,0.03
48,45.96110091,-66.6269056,-20.558,0.034
49,45.96110092,-66.62690563,-20.557,0.034
50,45.96110092,-66.62690562,-20.557,0.028
51,45.96110089,-66.6269056,-20.555,0.019
52,45.96110081,-66.62690556,-20.553,0.006
53,45.96110075,-66.62690552,-20.552,-0.007
54,45.96110072,-66.62690546,-20.551,-0.01
55,45.96110073,-66.62690541,-20.551,-0.005
56,45.96110077,-66.62690542,-20.551,0.004
57,45.96110083,-66.62690542,-20.551,0.014
58,45.96110086,-66.62690546,-20.552,0.019
59,45.96110086,-66.6269055,-20.552,0.017
60,45.96110084,-66.62690551,-20.552,0.011
61,45.96110081,-66.62690551,-20.551,0.003
62,45.96110079,-66.6269055,-20.55,-0.0
63,45.96110081,-66.62690549,-20.55,0.003
64,45.96110084,-66.62690548,-20.551,0.012
65,45.96110087,-66.62690552,-20.551,0.02
66,45.9611009,-66.62690554,-20.553,0.027
67,45.96110091,-66.62690555,-20.554,0.03
68,45.96110088,-66.62690555,-20.556,0.026
69,45.96110083,-66.62690555,-20.556,0.017
70,45.96110078,-66.62690555,-20.555,0.004
71,45.96110075,-66.62690552,-20.553,-0.004
72,45.96110077,-66.62690548,-20.552,-0.004
73,45.96110078,-66.62690544,-20.552,-0.002
74,45.96110081,-66.62690539,-20.554,0.001
75,45.96110082,-66.62690538,-20.554,0.005
76,45.96110081,-66.62690538,-20.553,0.006
77,45.96110082,-66.62690539,-20.552,0.012
78,45.96110082,-66.62690543,-20.55,0.018
79,45.96110083,-66.62690546,-20.549,0.022
80,45.96110084,-66.62690548,-20.548,0.029
81,45.96110086,-66.62690552,-20.546,0.034
82,45.96110084,-66.62690556,-20.546,0.034
83,45.96110083,-66.62690561,-20.545,0.032
84,45.96110084,-66.62690563,-20.546,0.031
85,45.96110084,-66.62690561,-20.547,0.032
86,45.96110083,-66.62690558,-20.549,0.028
87,45.96110081,-66.62690553,-20.549,0.023
88,45.96110078,-66.62690546,-20.549,0.015
89,45.96110074,-66.62690538,-20.549,0.006
90,45.96110071,-66.62690531,-20.55,-0.004
91,45.96110068,-66.62690531,-20.55,-0.011
92,45.96110068,-66.62690532,-20.551,-0.013
93,45.96110067,-66.62690535,-20.552,-0.014
94,45.96110068,-66.62690541,-20.554,-0.012
95,45.96110068,-66.62690548,-20.555,-0.008
96,45.96110072,-66.62690555,-20.556,0.003
97,45.96110075,-66.62690554,-20.557,0.012
98,45.96110078,-66.62690554,-20.557,0.018
99,45.96110082,-66.62690555,-20.555,0.025
100,45.96110083,-66.62690554,-20.555,0.028
101,45.96110082,-66.62690551,-20.556,0.026
102,45.9611008,-66.62690546,-20.555,0.022
103,45.9611008,-66.62690542,-20.555,0.022
104,45.96110079,-66.62690541,-20.554,0.023
105,45.9611008,-66.62690543,-20.553,0.024
106,45.96110078,-66.62690549,-20.552,0.021
107,45.96110074,-66.62690555,-20.551,0.014
108,45.96110071,-66.62690562,-20.549,0.008
109,45.96110068,-66.62690565,-20.548,0.001
110,45.96110066,-66.62690563,-20.549,-0.005
111,45.96110069,-66.62690561,-20.55,-0.005
112,45.9611007,-66.62690556,-20.552,-0.006
113,45.9611007,-66.62690556,-20.553,-0.006
114,45.96110069,-66.62690554,-20.554,-0.007
115,45.96110067,-66.62690553,-20.554,-0.011
116,45.96110067,-66.62690552,-20.553,-0.013
117,45.96110069,-66.6269055,-20.554,-0.01
118,45.96110072,-66.62690551,-20.554,-0.003
119,45.96110076,-66.62690551,-20.555,0.005
120,45.96110076,-66.62690552,-20.553,0.01
121,45.96110079,-66.62690551,-20.552,0.016
122,45.9611008,-66.62690551,-20.55,0.02
123,45.96110081,-66.62690551,-20.547,0.024
124,45.96110082,-66.62690551,-20.545,0.027
125,45.96110081,-66.62690547,-20.544,0.026
